GISJOIN,white_pct,black_pct,hispanic_pct
G0400150950500,77.89,2.69,14.3
G0400150954900,82.82,0.16,13.9
G0400150951800,50.29,1.54,42.55
G0400150952400,85.15,0.0,11.18
G0400270012100,42.87,0.11,56.91
G0400270000200,16.64,2.24,76.03
G0400270000301,28.29,7.68,63.74
G0400270000800,26.74,0.93,66.29
G0400270000901,42.92,1.86,49.93
G0400270000903,37.5,0.69,57.68
G0400270001100,26.83,0.19,71.28
G0400270001200,43.47,0.0,47.88
G0400270011501,7.01,0.04,69.34
G0400270000100,23.29,7.04,63.8
G0400270000908,32.19,6.08,53.36
G0400270011000,37.22,0.0,59.24
G0400270980003,0.0,0.0,0.0
G0400270000902,29.92,1.8,58.24
G0400270010913,14.79,0.0,77.23
G0400270011112,73.85,0.0,21.88
G0400270011107,53.8,0.78,39.0
G0400270010914,40.08,0.0,51.64
G0400270011202,39.45,0.0,60.29
G0400270980005,1.96,0.0,98.04
G0400270980004,0.0,0.0,0.0
G0400270000302,4.89,0.0,92.95
G0400270000402,11.0,1.3,85.25
G0400270000600,25.64,2.49,66.43
G0400270000700,13.15,2.91,82.59
G0400190004325,91.45,0.57,7.67
G0400190004049,68.1,6.52,20.94
G0400190004050,78.14,0.92,13.23
G0400190004046,73.36,6.95,16.72
G0400190004056,57.18,4.79,29.67
G0400190004057,66.91,4.53,22.96
G0400190004058,49.77,10.47,31.96
G0400190004110,11.79,5.86,81.04
G0400090961201,75.83,1.17,15.65
G0400130813200,69.03,1.01,9.63
G0400210000902,49.02,4.32,36.3
G0400210000310,86.89,0.0,10.3
G0400210000312,62.61,4.1,23.95
G0400030000202,37.08,0.3,59.13
G0400030000203,78.83,0.0,20.8
G0400030000201,54.95,0.0,41.9
G0400030002002,70.61,0.94,23.74
G0400030000902,10.96,0.93,87.87
G0400030000901,1.01,0.0,98.99
G0400030001602,51.66,10.78,22.05
G0400030001601,52.78,9.87,26.97
G0400030001701,58.88,4.26,27.79
G0400030001502,46.62,7.48,41.21
G0400030001501,46.31,5.66,35.15
G0400050000400,67.62,3.37,13.61
G0400050001000,64.43,4.92,19.26
G0400050000200,71.62,0.08,10.86
G0400170963300,83.89,0.15,7.8
G0400170963800,83.52,0.0,8.65
G0400170940301,1.04,0.35,3.29
G0400170963700,94.64,0.0,1.65
G0400210000313,77.98,2.48,13.18
G0400210001408,83.09,0.74,12.47
G0400210001305,49.35,1.09,39.53
G0400210001306,36.63,5.11,48.02
G0400210001405,59.33,2.5,33.48
G0400210001406,34.6,8.08,41.53
G0400210001403,24.45,2.22,55.78
G0400210000208,53.36,2.52,36.1
G0400190004029,58.43,7.89,26.54
G0400190004030,74.86,1.52,21.4
G0400190004031,71.65,1.97,19.86
G0400190004032,55.39,5.11,25.91
G0400190002702,73.6,1.9,16.37
G0400190002801,43.04,6.3,44.86
G0400190002802,56.38,5.13,29.19
G0400190002803,51.29,11.71,30.21
G0400190004034,53.63,3.79,34.17
G0400190004035,53.43,8.08,26.47
G0400190004038,56.11,9.0,29.03
G0400190004043,66.16,1.51,22.88
G0400190004044,76.69,4.17,12.27
G0400190004042,67.27,0.65,26.96
G0400190004047,75.28,1.77,19.69
G0400190004048,71.2,3.29,18.85
G0400190001200,16.87,3.84,67.31
G0400190001302,30.3,5.43,47.58
G0400190001400,61.05,4.12,22.91
G0400190004623,72.42,0.6,21.83
G0400190004624,59.18,0.0,28.85
G0400190004625,53.9,3.15,29.25
G0400190004626,50.83,2.18,34.4
G0400190003004,62.91,8.11,17.45
G0400190003002,63.25,0.73,24.87
G0400190003102,48.01,5.32,38.75
G0400190003304,46.56,5.98,40.94
G0400190003302,57.11,4.85,30.06
G0400190003400,48.63,3.14,40.03
G0400190003502,49.14,2.76,36.42
G0400190004054,77.61,1.66,13.75
G0400190004310,23.71,0.75,72.34
G0400190004321,14.02,0.0,83.71
G0400190004112,15.55,1.38,80.03
G0400190004647,60.88,3.29,25.88
G0400190004613,54.45,3.33,28.15
G0400190004614,78.84,3.66,13.07
G0400190004627,48.51,0.88,39.64
G0400190004630,65.45,0.23,20.95
G0400190004631,59.67,2.92,33.26
G0400190004632,62.99,0.39,32.92
G0400190004404,85.25,0.6,10.5
G0400190004407,13.19,1.84,82.36
G0400190004413,52.36,4.04,38.67
G0400190004414,34.35,0.24,52.36
G0400190004615,72.47,0.88,13.92
G0400190004616,61.92,0.25,22.29
G0400190004617,70.12,1.94,24.18
G0400190004618,61.06,0.5,29.09
G0400190004322,12.3,4.92,79.12
G0400190004634,68.87,1.79,22.54
G0400190004636,64.39,1.82,22.03
G0400190004717,86.92,0.0,6.25
G0400170961300,77.71,0.03,17.5
G0400190004718,65.47,2.05,10.68
G0400190004505,42.95,1.8,47.6
G0400190004506,41.83,0.0,55.73
G0400190004508,38.12,0.84,51.8
G0400190004513,47.15,1.21,46.48
G0400190004610,48.14,5.54,32.94
G0400190004621,88.3,0.0,6.96
G0400190004622,69.3,4.13,26.39
G0400170961701,74.74,0.41,20.88
G0400170965201,76.76,0.0,10.74
G0400170964801,88.35,0.0,5.05
G0400170964802,89.13,0.0,8.63
G0400190003504,52.52,6.02,34.32
G0400190003702,5.8,1.7,85.29
G0400190003704,3.85,0.99,86.82
G0400190000300,41.4,2.83,42.91
G0400190001100,10.26,1.75,79.63
G0400190003705,10.59,2.89,84.67
G0400190003801,5.44,1.42,88.13
G0400190003802,1.8,0.0,95.17
G0400190003901,3.12,0.0,88.15
G0400190003902,4.42,2.28,92.04
G0400190003903,1.93,0.63,96.43
G0400190004008,55.19,3.83,34.72
G0400190004010,57.18,3.52,31.48
G0400190001500,73.89,1.45,16.39
G0400190001600,77.96,1.24,17.77
G0400190001700,67.84,2.29,19.94
G0400170965302,65.27,2.67,28.02
G0400170961702,88.1,0.0,9.61
G0400170965301,70.16,0.0,15.22
G0400170962501,79.05,0.0,14.24
G0400190002300,11.68,4.22,67.15
G0400190002400,7.9,1.5,82.91
G0400190002503,17.78,0.87,79.91
G0400190002504,16.85,0.65,80.39
G0400190002505,14.33,4.2,78.62
G0400190002604,27.73,2.36,53.62
G0400190002602,39.83,2.42,35.75
G0400190002704,46.5,1.28,37.06
G0400030001703,61.21,1.54,24.4
G0400030001702,65.62,6.19,19.67
G0400030001402,60.7,16.33,13.72
G0400030001401,57.63,18.97,14.38
G0400030000301,70.31,0.7,24.52
G0400030000303,82.04,0.0,14.75
G0400170964901,88.88,0.0,2.63
G0400170964902,69.25,0.0,24.6
G0400170962502,82.61,0.0,13.57
G0400190004711,73.65,2.43,16.13
G0400190004418,71.16,0.69,21.3
G0400190004412,35.18,4.77,42.53
G0400190004312,19.77,0.61,77.71
G0400190004635,73.42,1.5,17.78
G0400190004053,83.75,0.26,10.58
G0400170965202,73.87,0.0,24.21
G0400190000700,51.04,0.39,40.97
G0400210000315,78.45,0.23,17.2
G0400190000600,71.24,3.58,19.29
G0400190002000,24.42,9.13,64.91
G0400190003503,36.73,10.16,50.37
G0400190004722,88.69,0.0,7.58
G0400190002100,8.41,5.2,83.94
G0400190004643,89.37,0.0,8.8
G0400190004714,65.44,2.08,14.27
G0400190004116,16.8,3.97,76.17
G0400190004036,55.9,2.32,34.49
G0400190001900,72.84,2.75,16.12
G0400190004320,12.04,0.0,86.83
G0400190004712,75.88,6.39,12.13
G0400190004037,61.05,3.87,29.4
G0400190004428,75.84,0.0,20.63
G0400190000800,45.01,1.32,46.11
G0400190004316,46.4,0.22,51.15
G0400190004710,63.5,2.22,19.99
G0400190004317,86.82,0.47,11.11
G0400130617900,82.17,2.08,10.72
G0400130618100,74.21,3.53,9.63
G0400130618200,69.25,1.89,20.26
G0400130618500,61.4,11.77,21.09
G0400130618600,58.74,1.24,31.73
G0400130618800,51.57,3.9,40.57
G0400130619000,70.1,1.17,19.06
G0400130112510,15.35,0.25,76.73
G0400130617300,70.89,0.0,10.41
G0400130811300,67.9,2.99,19.83
G0400130812100,63.44,7.7,15.35
G0400130812300,51.32,1.22,23.87
G0400190004051,87.08,0.0,6.74
G0400190004313,52.54,2.04,43.35
G0400190004415,38.22,1.23,58.26
G0400190004419,70.59,0.0,24.9
G0400190004307,94.22,0.0,4.11
G0400190004512,58.09,2.97,34.67
G0400190004055,68.06,2.75,10.44
G0400170960500,40.7,4.35,40.32
G0400170960100,40.98,0.57,28.31
G0400190002901,55.84,8.0,30.53
G0400190002906,62.09,2.26,24.64
G0400190002904,79.3,2.31,15.5
G0400210000206,80.12,1.97,11.93
G0400210000212,68.46,4.22,19.51
G0400210001407,51.87,0.0,46.94
G0400210001404,36.51,4.41,49.54
G0400210001709,45.43,11.94,30.86
G0400210001705,46.76,9.46,37.04
G0400130082204,10.64,10.29,73.34
G0400130082206,8.54,10.11,77.72
G0400130082207,21.01,1.87,72.43
G0400130082209,7.3,1.49,91.21
G0400130082210,13.72,19.59,61.77
G0400130082211,16.71,11.6,65.18
G0400130092311,40.81,16.83,33.57
G0400130092312,51.39,23.46,16.96
G0400130616400,52.25,0.75,10.14
G0400130616600,65.11,0.88,28.12
G0400130616700,80.4,2.79,13.56
G0400130616800,67.4,1.27,23.17
G0400130617400,85.84,0.48,12.16
G0400130617500,91.49,2.04,3.19
G0400130617600,71.58,1.72,18.26
G0400130615100,78.82,3.52,3.26
G0400130616100,68.11,7.88,13.83
G0400130616900,75.39,3.25,14.44
G0400130617200,76.27,3.58,9.13
G0400120980000,0.0,0.0,0.0
G0400130092719,28.35,10.12,54.35
G0400130092721,43.84,6.48,35.41
G0400130092801,12.38,15.26,71.09
G0400130103219,81.4,1.89,8.91
G0400130103220,72.23,4.74,3.43
G0400130103701,61.19,1.93,30.44
G0400130103702,73.02,1.4,14.54
G0400130617700,55.67,3.97,26.08
G0400130617800,76.21,1.83,11.02
G0400130109003,13.21,4.93,76.8
G0400130109102,10.49,8.32,74.48
G0400130110501,49.54,3.53,30.75
G0400130110502,48.99,7.28,26.0
G0400130110802,62.91,9.73,19.76
G0400130110901,45.27,5.67,41.03
G0400130116731,74.69,0.98,15.42
G0400130117000,33.68,18.15,34.89
G0400130619700,70.53,2.11,21.02
G0400130619800,56.81,2.57,9.9
G0400130619900,57.84,0.52,9.37
G0400130810000,60.53,4.73,11.39
G0400130810100,78.77,1.43,9.99
