GISJOIN,undergrad_pct
G0400150950500,5.59
G0400150954900,35.38
G0400150951800,4.65
G0400150952400,39.03
G0400270012100,6.2
G0400270000200,11.3
G0400270000301,0.87
G0400270000800,28.47
G0400270000901,20.34
G0400270000903,15.04
G0400270001100,23.17
G0400270001200,29.32
G0400270011501,15.97
G0400270000100,20.43
G0400270000908,39.77
G0400270011000,5.15
G0400270980003,0.0
G0400270000902,22.09
G0400270010913,13.93
G0400270011112,27.21
G0400270011107,40.07
G0400270010914,8.15
G0400270011202,9.52
G0400270980005,0.0
G0400270980004,0.0
G0400270000302,7.51
G0400270000402,0.68
G0400270000600,18.67
G0400270000700,13.07
G0400190004325,59.41
G0400190004049,37.84
G0400190004050,68.98
G0400190004046,39.17
G0400190004056,26.85
G0400190004057,29.56
G0400190004058,24.13
G0400190004110,14.37
G0400090961201,29.58
G0400130813200,68.74
G0400210000902,6.12
G0400210000310,22.06
G0400210000312,14.55
G0400030000202,5.13
G0400030000203,26.88
G0400030000201,8.94
G0400030002002,33.04
G0400030000902,11.89
G0400030000901,17.58
G0400030001602,20.85
G0400030001601,19.48
G0400030001701,42.06
G0400030001502,15.01
G0400030001501,27.51
G0400050000400,42.35
G0400050001000,42.18
G0400050000200,52.85
G0400170963300,25.6
G0400170963800,28.15
G0400170940301,4.96
G0400170963700,21.49
G0400210000313,15.46
G0400210001408,23.41
G0400210001305,13.33
G0400210001306,12.04
G0400210001405,14.56
G0400210001406,9.1
G0400210001403,20.49
G0400210000208,14.6
G0400190004029,24.58
G0400190004030,62.85
G0400190004031,46.99
G0400190004032,40.38
G0400190002702,69.5
G0400190002801,17.99
G0400190002802,24.16
G0400190002803,30.84
G0400190004034,21.04
G0400190004035,16.05
G0400190004038,23.01
G0400190004043,48.58
G0400190004044,58.71
G0400190004042,29.9
G0400190004047,52.96
G0400190004048,38.17
G0400190001200,18.57
G0400190001302,7.49
G0400190001400,63.2
G0400190004623,44.62
G0400190004624,37.47
G0400190004625,34.62
G0400190004626,31.33
G0400190003004,49.75
G0400190003002,34.92
G0400190003102,29.91
G0400190003304,55.92
G0400190003302,36.18
G0400190003400,45.53
G0400190003502,24.81
G0400190004054,55.58
G0400190004310,28.98
G0400190004321,15.42
G0400190004112,13.1
G0400190004647,27.38
G0400190004613,28.71
G0400190004614,55.3
G0400190004627,31.48
G0400190004630,54.67
G0400190004631,50.47
G0400190004632,45.09
G0400190004404,52.6
G0400190004407,9.28
G0400190004413,45.93
G0400190004414,34.61
G0400190004615,50.23
G0400190004616,50.95
G0400190004617,45.47
G0400190004618,41.37
G0400190004322,20.72
G0400190004634,52.92
G0400190004636,58.51
G0400190004717,84.71
G0400170961300,17.88
G0400190004718,66.53
G0400190004505,16.12
G0400190004506,11.98
G0400190004508,8.59
G0400190004513,12.17
G0400190004610,32.88
G0400190004621,42.88
G0400190004622,27.65
G0400170961701,28.08
G0400170965201,16.47
G0400170964801,20.59
G0400170964802,37.36
G0400190003504,23.55
G0400190003702,7.31
G0400190003704,11.51
G0400190000300,38.86
G0400190001100,18.59
G0400190003705,9.03
G0400190003801,5.72
G0400190003802,1.44
G0400190003901,3.13
G0400190003902,7.12
G0400190003903,5.77
G0400190004008,21.69
G0400190004010,40.64
G0400190001500,60.51
G0400190001600,62.67
G0400190001700,55.19
G0400170965302,22.43
G0400170961702,25.81
G0400170965301,13.73
G0400170962501,36.38
G0400190002300,7.53
G0400190002400,10.7
G0400190002503,5.11
G0400190002504,7.46
G0400190002505,16.03
G0400190002604,12.37
G0400190002602,26.07
G0400190002704,43.2
G0400030001703,20.16
G0400030001702,37.18
G0400030001402,76.2
G0400030001401,29.13
G0400030000301,10.89
G0400030000303,22.3
G0400170964901,64.35
G0400170964902,41.29
G0400170962502,67.21
G0400190004711,76.13
G0400190004418,42.94
G0400190004412,53.79
G0400190004312,7.28
G0400190004635,60.46
G0400190004053,42.33
G0400170965202,27.32
G0400190000700,46.76
G0400210000315,17.23
G0400190000600,67.68
G0400190002000,17.77
G0400190003503,11.97
G0400190004722,66.52
G0400190002100,9.34
G0400190004643,50.88
G0400190004714,81.27
G0400190004116,12.38
G0400190004036,17.99
G0400190001900,84.3
G0400190004320,0.92
G0400190004712,77.35
G0400190004037,21.32
G0400190004428,64.23
G0400190000800,56.33
G0400190004316,21.4
G0400190004710,52.72
G0400190004317,17.62
G0400130617900,42.59
G0400130618100,31.08
G0400130618200,32.96
G0400130618500,29.51
G0400130618600,24.99
G0400130618800,15.01
G0400130619000,47.15
G0400130112510,20.2
G0400130617300,46.26
G0400130811300,37.83
G0400130812100,41.39
G0400130812300,67.22
G0400190004051,74.11
G0400190004313,11.74
G0400190004415,43.99
G0400190004419,13.65
G0400190004307,33.92
G0400190004512,13.79
G0400190004055,47.43
G0400170960500,34.24
G0400170960100,16.29
G0400190002901,27.86
G0400190002906,66.43
G0400190002904,52.71
G0400210000206,28.2
G0400210000212,22.96
G0400210001407,3.94
G0400210001404,18.92
G0400210001709,22.62
G0400210001705,28.31
G0400130082204,11.34
G0400130082206,22.05
G0400130082207,22.84
G0400130082209,0.36
G0400130082210,8.87
G0400130082211,23.27
G0400130092311,19.95
G0400130092312,17.39
G0400130616400,58.98
G0400130616600,19.32
G0400130616700,37.61
G0400130616800,27.41
G0400130617400,25.52
G0400130617500,24.28
G0400130617600,32.63
G0400130615100,77.11
