,GISJOIN,pct_subprime,average_income,weight
0,G0100010020100,0.11111111111111106,65.39890710382514,549
1,G0100010020200,0.14333333333333328,54.85666666666667,600
2,G0100010020300,0.13023255813953485,56.53674418604651,1075
3,G0100010020400,0.11245283018867919,66.46490566037735,1325
4,G0100010020500,0.07336683417085424,76.38458961474036,2985
5,G0100010020600,0.12385321100917424,62.512614678899084,872
6,G0100010020700,0.12065813528336375,53.35831809872029,547
7,G0100010020800,0.10322089779355816,73.76794319046411,3943
8,G0100010020900,0.12601326455416356,60.68459837877671,1357
9,G0100010021000,0.11030741410488243,59.99457504520796,553
10,G0100010021100,0.11064425770308121,53.85574229691877,714
11,G0100030010100,0.10891089108910887,64.17821782178218,707
12,G0100030010200,0.1451905626134301,61.26678765880218,551
13,G0100030010300,0.12064965197215774,72.74709976798144,1724
14,G0100030010400,0.11665325824617856,70.78117457763476,1243
15,G0100030010500,0.13992869875222813,60.76292335115865,1122
16,G0100030010600,0.14536928487690498,51.944900351699886,853
17,G0100030010701,0.07707747892412684,97.47009233239665,2491
18,G0100030010703,0.0808522261677137,94.37721933897842,3661
19,G0100030010704,0.09914529914529911,72.57606837606838,2340
20,G0100030010705,0.10007122507122503,73.17058404558405,2808
21,G0100030010800,0.08015943312666071,103.6762621789194,2258
22,G0100030010901,0.12611063341931783,64.84121524792204,3489
23,G0100030010902,0.13667117726657638,60.98815967523681,2956
24,G0100030011000,0.12185297079556894,65.84692849949647,993
25,G0100030011100,0.08452250274423706,81.57875960482986,3644
26,G0100030011201,0.07010710808179162,105.80915287244402,1027
27,G0100030011202,0.09084139985107963,107.2963514519732,1343
28,G0100030011300,0.10260723296888137,121.41463414634147,1189
29,G0100030011401,0.11039886039886034,77.68767806267806,2808
30,G0100030011403,0.07572992700729925,129.74224452554745,2192
31,G0100030011404,0.062215985030740384,218.42294840951618,14964
32,G0100030011500,0.10792804796802129,74.94314901176995,4503
33,G0100030011600,0.10260809883321886,81.63864104323953,2914
34,G0100050950100,0.1679536679536679,70.21814671814671,518
35,G0100050950200,0.22070844686648497,52.416893732970024,367
36,G0100050950300,0.2,63.48,175
37,G0100050950400,0.16049382716049382,57.08641975308642,405
38,G0100050950500,0.14915254237288134,69.3271186440678,590
39,G0100050950600,0.19163763066202089,64.40766550522648,287
40,G0100050950700,0.14624505928853748,60.77075098814229,253
41,G0100050950800,0.17821782178217818,80.12128712871286,404
42,G0100050950900,0.15494791666666663,63.759114583333336,768
43,G0100070010000,0.1569796323894684,54.962245404868355,2013
44,G0100070010100,0.22384219554030874,51.75986277873071,1166
45,G0100070010200,0.2035398230088495,57.36106194690265,1130
46,G0100090050101,0.16182117388919356,58.475041140976415,1823
47,G0100090050102,0.18061366806136678,70.68270571827057,1434
48,G0100090050200,0.16832779623477295,59.43964562569214,903
49,G0100090050300,0.18993352326685656,52.894586894586894,1053
50,G0100090050400,0.21264367816091947,60.249425287356324,870
51,G0100090050500,0.19718309859154923,53.579914268218005,1633
52,G0100090050600,0.13457502623294854,62.10493179433368,3812
53,G0100090050700,0.1503040834057341,59.83927019982624,2302
54,G0100110952100,0.2469879518072289,46.98795180722892,166
55,G0100110952200,0.24970414201183427,46.603550295857985,845
56,G0100110952300,0.19548872180451124,92.15789473684211,133
57,G0100110952400,0.22222222222222218,64.25641025641026,117
58,G0100130952700,0.2631578947368421,65.71637426900585,342
59,G0100130952800,0.211031175059952,65.15107913669065,417
60,G0100130952900,0.19528619528619523,50.39393939393939,297
61,G0100130953000,0.28965517241379307,46.0,145
62,G0100130953100,0.18813905930470345,43.54192229038855,489
63,G0100130953200,0.255659121171771,47.45006657789614,751
64,G0100130953300,0.2953020134228188,54.34563758389262,298
65,G0100130953400,0.2541436464088398,42.89502762430939,543
66,G0100130953500,0.2266187050359712,45.39928057553957,278
67,G0100150000100,0.1538461538461538,53.49278846153846,416
68,G0100150000200,0.1888760139049826,63.338354577056776,863
69,G0100150000300,0.17929292929292925,47.6540404040404,396
70,G0100150000400,0.21249999999999994,49.85,400
71,G0100150000500,0.21518987341772147,36.075949367088604,158
72,G0100150000600,0.27319587628865977,45.118556701030926,194
73,G0100150000800,0.12785388127853878,78.12785388127854,219
74,G0100150000900,0.11850060459492136,76.7037484885127,827
75,G0100150001000,0.12036434612882234,80.20754716981132,1537
76,G0100150001100,0.1445856019358741,67.88021778584393,1653
77,G0100150001200,0.16878612716763003,58.62196531791908,1730
78,G0100150001300,0.2126436781609195,49.69827586206897,348
79,G0100150001400,0.17348608837970536,48.85597381342062,611
80,G0100150001500,0.17465475223395607,52.290008123476845,1231
81,G0100150001600,0.18504435994930288,47.44233206590621,789
82,G0100150001700,0.15416666666666662,59.20520833333333,1920
83,G0100150001800,0.16230068337129838,55.24088838268793,1756
84,G0100150001900,0.06622516556291388,70.91390728476821,151
85,G0100150002000,0.14746040415073727,72.63626433642818,1831
86,G0100150002101,0.08646616541353377,67.13533834586467,266
87,G0100150002102,0.07865168539325837,76.42197253433208,801
88,G0100150002103,0.11225188227241611,66.36344969199179,1461
89,G0100150002200,0.1954787234042553,48.94813829787234,752
